変数情報
変数	位置	ラベル
ZQ39E	385	問39E_子どもがいると、夫婦の自由な生活の妨げになる
ZQ39F	386	問39F_不幸せな結婚生活を続けるくらいなら、離婚した方がよい
ZQ40A	387	問40A_日本の防衛力はもっと強化するべきだ
ZQ40B	388	問40B_日米安保体制は現在よりもっと強化するべきだ
ZQ40C	389	問40C_収入の多い人と少ない人の所得格差を縮めるのは政府の責任だ
ZQ40D	390	問40D_公共事業による地方の雇用確保は必要だ
ZQ40E	391	問40E_社会保障は財政が苦しくても極力充実するべきだ
ZQ40F	392	問40F_お年寄りや心身の不自由な人は別として、すべての人は社会福祉をあてにしないで生活しなければならない
ZQ41A	393	問41A_自民党への感情
ZQ41B	394	問41B_民主党への感情
ZQ41C	395	問41C_公明党への感情
ZQ41D	396	問41D_共産党への感情
ZQ41E	397	問41E_社民党への感情
ZQ41F	398	問41F_安倍晋三への感情
ZQ41G	399	問41G_小沢一郎への感情
ZQ42	400	問42_ふだん支持している政党
ZQ43	401	問43_政治上の出来事への感心
ZQ44	402	問44_現在の住居の形態
ZQ45	403	問45_住居費や住宅ローンは自分で支払っているか
ZQ45S	404	問45_上記の月あたりの金額（千円）
ZQ46A	405	問46_現在の住居に住み始めた時期―元号
ZQ46Y	406	問46_現在の住居に住み始めた時期―年
ZQ46M	407	問46_現在の住居に住み始めた時期―月
ZQ47A	408	問47_過去1年間の収入―本人
ZQ47B	409	問47_過去1年間の収入―配偶者
ZQ47C	410	問47_過去1年間の収入―世帯全体
ZQ48_1A	411	問48(1)-1_世帯の収入源―賃金・給料
ZQ48_1B	412	問48(1)-2_世帯の収入源―農林漁業からの事業収入
ZQ48_1C	413	問48(1)-3_世帯の収入源―農林漁業以外の事業収入
ZQ48_1D	414	問48(1)-4_世帯の収入源―内職収入
ZQ48_1E	415	問48(1)-5_世帯の収入源―家賃・地代
ZQ48_1F	416	問48(1)-6_世帯の収入源―利子・配当
ZQ48_1G	417	問48(1)-7_世帯の収入源―仕送り
ZQ48_1H	418	問48(1)-8_世帯の収入源―年金（除く障害年金）・恩給
ZQ48_1I	419	問48(1)-9_世帯の収入源―障害年金
ZQ48_1J	420	問48(1)-10_世帯の収入源―雇用保険（失業等給付）
ZQ48_1K	421	問48(1)-11_世帯の収入源―生活保護
ZQ48_1L	422	問48(1)-12_世帯の収入源―児童扶養手当
ZQ48_1M	423	問48(1)-13_世帯の収入源―その他
ZQ48_2	424	問48(2)_上記のうち主な収入源
ZQ49	425	問49_世帯で所有している資産の総額
ZQ50	426	問50_婚姻状態
ZQ51	427	問51_結婚時の満年齢
ZQ51A	428	問51_結婚時―元号
ZQ51Y	429	問51_結婚時―年
ZQ52A	430	問52_配偶者生年―元号
ZQ52Y	431	問52_配偶者生年―年
ZQ53_A	432	問53-1_配偶者と知り合ったきっかけ―親・きょうだいの紹介で
